"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 15 00:29:00 CST 2022","Tue Feb 15 00:29:00 CST 2022","3","testcase","test_login","","","","测试登录",""
"failed","Tue Feb 15 00:28:59 CST 2022","Tue Feb 15 00:28:59 CST 2022","10","testcase","test_login","","","","测试登录",""
"failed","Tue Feb 15 00:39:27 CST 2022","Tue Feb 15 00:39:27 CST 2022","12","testcase","test_login","Test_Login","","","登录正向用例",""
"passed","Tue Feb 15 00:39:27 CST 2022","Tue Feb 15 00:39:27 CST 2022","2","testcase","test_login","Test_Login","","","登录反向用例",""
"passed","Tue Feb 15 00:31:41 CST 2022","Tue Feb 15 00:31:41 CST 2022","0","testcase","test_demo","Test_demo","","","test_b",""
"passed","Tue Feb 15 00:32:52 CST 2022","Tue Feb 15 00:32:52 CST 2022","0","testcase","test_demo","Test_demo","","","test_a",""
