"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 26 10:56:09 CST 2022","Sat Mar 26 10:56:09 CST 2022","385","testcase","test_login","TestLogin","","","登录反向用例",""
"passed","Sat Mar 26 10:56:08 CST 2022","Sat Mar 26 10:56:09 CST 2022","418","testcase","test_login","TestLogin","","","登录正向用例",""
"passed","Sat Mar 26 10:56:09 CST 2022","Sat Mar 26 10:56:09 CST 2022","435","testcase","test_login","TestLogin","","","登录反向用例",""
